PLAZO,PRESTAMOS_ANTERIORES,SCORE_VERAZ,ESTADO_CIVIL,DEUDA_SIST_FIN,INGRESOS_PERSONALES,MORA>90,BUEN_SCORE
48,2,GOOD,SOLTERO,31297.30926,154554.6136,0,1
47,1,GOOD,SOLTERO,25036.6397,77196.30575,0,1
18,1,GOOD,SOLTERO,28018.67234,126945.441,0,1
48,1,GOOD,SOLTERO,25900.0,89100.0,0,1
12,1,GOOD,CASADO,60571.11044,174096.6049,0,1
12,1,GOOD,SOLTERO,8653.827039,120288.1958,0,1
7,1,GOOD,SOLTERO,18585.43516,245327.7441,0,1
48,1,GOOD,SOLTERO,462794.4712,129736.0406,0,1
36,2,GOOD,CASADO,58698.32928,176585.5031,0,1
48,1,GOOD,SOLTERO,46726.00498,86935.7451,0,1
19,1,GOOD,SOLTERO,13932.66153,46367.20527,0,1
16,3,GOOD,CASADO,110942.0626,169874.6248,0,1
30,5,GOOD,SOLTERO,18490.12523,123902.9011,0,1
30,2,GOOD,SOLTERO,128018.3549,219146.9699,0,1
24,2,GOOD,SOLTERO,29957.58784,152724.9576,0,1
34,1,GOOD,SOLTERO,29901.44035,75685.10992999999,0,1
12,4,GOOD,SOLTERO,79982.01255,386386.5341,0,1
7,2,GOOD,SOLTERO,8839.500064,90162.90065,0,1
36,1,GOOD,CASADO,59811.71502999999,66152.22172999999,0,1
48,1,GOOD,SOLTERO,69734.92323,96729.61449,0,1
32,2,GOOD,SOLTERO,22493.14204,51086.1192,0,1
12,1,GOOD,CASADO,34365.9444,81607.78352000001,0,1
48,5,GOOD,DIVORCIADO,78406.36557000001,179441.8513,0,1
48,1,GOOD,SOLTERO,21448.05468,75109.91911,0,1
36,5,GOOD,CASADO,50133.65279,241491.5838,0,1
24,3,GOOD,CASADO,92509.41105,181557.2913,0,1
24,1,GOOD,SOLTERO,15614.22161,44742.50636,0,1
48,1,GOOD,SOLTERO,28472.04892,83385.92645,0,1
12,1,GOOD,SOLTERO,7513.575054999999,94405.86069,0,1
48,2,GOOD,SOLTERO,119421.6459,241318.3518,0,1
30,7,GOOD,CASADO,110828.8584,209890.4962,0,1
48,1,GOOD,SOLTERO,14761.96511,45611.82033,0,1
36,5,GOOD,CASADO,27293.26982,66775.11549,0,1
34,1,GOOD,SOLTERO,33519.03183,82107.13849,0,1
9,2,GOOD,SOLTERO,19175.35987,100442.3612,0,1
13,2,GOOD,CASADO,70515.23473,186301.8091,0,1
47,3,GOOD,SOLTERO,175942.1195,234462.4128,0,1
24,1,GOOD,SOLTERO,33000.0,44000.0,0,1
48,2,GOOD,SOLTERO,39120.47347,197232.2729,0,1
12,7,GOOD,SOLTERO,71956.95117999999,70488.44197,0,1
12,1,GOOD,SOLTERO,64648.35612999999,273933.7124,0,1
13,1,GOOD,SOLTERO,9202.657702,46992.29465,0,1
18,1,GOOD,SOLTERO,8400.0,49200.0,0,1
18,1,GOOD,SOLTERO,47942.2018,74769.06562000001,0,1
12,1,GOOD,SOLTERO,32701.0191,192936.0127,0,1
12,1,GOOD,SOLTERO,39641.3462,38389.51421,0,1
18,1,GOOD,SOLTERO,9687.694071,72657.70552999999,0,1
7,1,GOOD,SOLTERO,4172.773284000001,37554.95956,0,1
9,1,GOOD,SOLTERO,8000.0,48000.0,0,1
48,1,GOOD,SOLTERO,53951.81244,167477.3069,0,1
24,1,GOOD,SOLTERO,23287.726130000003,121096.1759,0,1
12,1,GOOD,SOLTERO,13000.0,150000.0,0,1
48,1,GOOD,SOLTERO,15414.80356,95209.08078,0,1
24,1,GOOD,SOLTERO,40956.97261,95630.66718,0,1
14,1,GOOD,SOLTERO,6709.973312,82514.53667,0,1
12,1,GOOD,SOLTERO,17257.82388,45655.61874,0,1
14,1,GOOD,SOLTERO,13080.40764,68672.14011000001,0,1
16,1,GOOD,SOLTERO,39121.63657,144894.9503,0,1
38,1,GOOD,SOLTERO,53466.16623,73577.29297000001,0,1
24,1,GOOD,SOLTERO,29249.38402,174192.1915,0,1
12,1,GOOD,SOLTERO,32050.24435,100442.3612,0,1
24,1,GOOD,SOLTERO,34049.83,83455.46568,0,1
12,1,GOOD,SOLTERO,34400.0,130000.0,0,1
15,2,GOOD,SOLTERO,43705.50184,117877.9095,0,1
24,1,GOOD,CASADO,58520.293260000006,47654.96194,0,1
10,1,GOOD,SOLTERO,137541.4943,226938.8718,0,1
18,3,GOOD,CASADO,78615.49812999999,373582.2979,0,1
12,3,GOOD,SOLTERO,64832.85024,86141.54927999999,0,1
48,1,GOOD,CASADO,66265.29059,154554.6136,0,1
36,7,GOOD,CASADO,112585.7059,107690.6752,0,1
48,1,GOOD,SOLTERO,27123.02635,75488.80692999999,0,1
48,4,GOOD,SOLTERO,146396.0431,419363.6651,0,1
24,1,GOOD,SOLTERO,36027.4259,119438.7489,0,1
24,2,GOOD,SOLTERO,45877.00533,107841.9008,0,1
48,1,GOOD,CASADO,30584.67022,97234.50071,0,1
12,1,GOOD,SOLTERO,10573.2663,133634.3379,0,1
16,3,GOOD,SOLTERO,118643.9687,259614.8112,0,1
12,1,GOOD,SOLTERO,59261.3653,133223.2243,0,1
36,4,GOOD,SOLTERO,275174.8668,275634.2572,0,1
24,1,GOOD,SOLTERO,44020.71032,141432.001,0,1
46,2,GOOD,SOLTERO,19857.89399,41710.64491,0,1
37,1,GOOD,CASADO,51622.68037,105543.6308,0,1
18,5,GOOD,SOLTERO,79961.36184,215999.5229,0,1
24,3,GOOD,SOLTERO,196867.028,306805.7579,0,1
35,1,GOOD,SOLTERO,17307.65408,60576.78927000001,0,1
48,1,GOOD,SOLTERO,64590.294270000006,71664.90687,0,1
18,2,GOOD,CASADO,37985.47479,54786.74247999999,0,1
9,1,GOOD,SOLTERO,11772.36688,122628.8216,0,1
28,2,GOOD,SOLTERO,38866.5437,127270.798,0,1
24,5,GOOD,SOLTERO,22024.03244,289789.9005,0,1
24,4,GOOD,CASADO,64143.57877000001,101981.6186,0,1
13,1,GOOD,SOLTERO,35645.91153,99877.17544,0,1
48,3,GOOD,CASADO,72935.95732,178179.1172,0,1
36,4,GOOD,CASADO,59169.48721,167218.116,0,1
24,3,GOOD,SOLTERO,84344.0827,358324.5344,0,1
26,6,GOOD,SOLTERO,53161.13164,292094.1299,0,1
24,1,GOOD,SOLTERO,35063.51519,89485.01272,0,1
12,1,GOOD,SOLTERO,35400.0,67400.0,0,1
24,1,GOOD,CASADO,82811.15413,242192.3518,0,1
48,1,GOOD,SOLTERO,45655.61874,142445.5305,0,1
48,3,GOOD,SOLTERO,54000.0,150000.0,0,1
36,2,GOOD,CASADO,23466.98803,82180.11372000001,0,1
48,2,GOOD,SOLTERO,71601.76251,131479.2068,0,1
36,1,GOOD,SOLTERO,17600.0,72000.0,0,1
48,2,GOOD,SOLTERO,39216.53081,75491.35605,0,1
48,3,GOOD,SOLTERO,49055.34543,73485.0888,0,1
30,1,GOOD,SOLTERO,15276.74834,121096.1759,0,1
12,1,GOOD,SOLTERO,29768.49978,145167.3755,0,1
14,1,GOOD,SOLTERO,31010.95774,165029.0734,0,1
6,1,GOOD,SOLTERO,88100.0,390000.0,0,1
48,3,GOOD,SOLTERO,71771.2987,106256.2969,0,1
24,2,GOOD,SOLTERO,9313.746222,67935.56068,0,1
48,1,GOOD,CASADO,46600.0,140000.0,0,1
13,1,GOOD,SOLTERO,17181.20203,173649.582,0,1
16,1,GOOD,SOLTERO,20154.06015,60992.55044,0,1
12,3,GOOD,SOLTERO,65395.92089,376726.8707,0,1
18,1,GOOD,SOLTERO,26164.92019,170071.9812,0,1
36,1,GOOD,CASADO,53390.58039,243970.2018,0,1
18,1,GOOD,SOLTERO,43977.52779,99742.84653,0,1
36,1,GOOD,SOLTERO,41365.29325,72692.14713,0,1
6,4,GOOD,CASADO,45600.0,290000.0,0,1
13,2,GOOD,SOLTERO,21929.7375,95942.60158,0,1
48,5,GOOD,SOLTERO,22532.97573,175256.4779,0,1
48,4,GOOD,SOLTERO,58959.46543,185629.5014,0,1
48,4,GOOD,SOLTERO,67900.0,403000.0,0,1
26,6,GOOD,SOLTERO,47249.89563,129807.4056,0,1
48,1,GOOD,CASADO,40436.65674,45156.30688,0,1
20,4,GOOD,SOLTERO,45690.20765,156486.5463,0,1
9,4,GOOD,SOLTERO,40200.0,75400.0,0,1
22,1,GOOD,CASADO,25400.0,120000.0,0,1
36,5,GOOD,SOLTERO,72935.95732,129228.8103,0,1
24,1,GOOD,SOLTERO,20765.14713,88292.75156,0,1
26,1,GOOD,SOLTERO,39070.59028,57456.75042,0,1
48,1,GOOD,SOLTERO,18283.73906,107377.9188,0,1
48,2,GOOD,SOLTERO,54673.69457000001,115529.5737,0,1
20,1,GOOD,SOLTERO,48394.95586,122722.3032,0,1
24,2,GOOD,SOLTERO,4419.750032,47114.53534,0,1
9,1,GOOD,SOLTERO,34269.15507,91414.70193,0,1
12,1,GOOD,SOLTERO,7761.455185,38350.71974,0,1
9,3,GOOD,SOLTERO,50614.61736,132165.8287,0,1
12,1,GOOD,SOLTERO,67955.97572999999,81013.4353,0,1
48,1,GOOD,SOLTERO,20769.18489,72224.84047000001,0,1
10,3,GOOD,SOLTERO,23666.25722,108810.378,0,1
32,3,GOOD,SOLTERO,62109.58595,82690.27716,0,1
16,3,GOOD,SOLTERO,13701.2251,108018.6908,0,1
48,2,GOOD,SOLTERO,142208.1135,193115.9476,0,1
48,2,GOOD,CASADO,169400.0,275000.0,0,1
29,1,GOOD,SOLTERO,206490.7215,176790.0013,0,1
24,1,GOOD,SOLTERO,17273.08012,156192.7457,0,1
31,5,GOOD,CASADO,62428.00014,92927.17579,0,1
24,4,GOOD,CASADO,112678.067,237409.2174,0,1
24,1,GOOD,SOLTERO,15300.0,48000.0,0,1
12,2,GOOD,CASADO,93720.94683,259614.8112,0,1
6,1,GOOD,SOLTERO,10181.66384,117480.7366,0,1
36,1,GOOD,SOLTERO,25616.49875,48438.47035,0,1
48,1,GOOD,SOLTERO,54024.31441,88202.9623,0,1
48,9,GOOD,SOLTERO,70470.49176,155273.9649,0,1
36,1,GOOD,CASADO,55946.92532,238274.8097,0,1
36,3,GOOD,SOLTERO,124442.0328,562498.7575,0,1
12,1,GOOD,SOLTERO,65299.32425,212512.5937,0,1
12,1,GOOD,SOLTERO,20491.63364,80060.33606,0,1
48,1,GOOD,SOLTERO,29952.25595,91878.08573,0,1
12,5,GOOD,SOLTERO,14236.02446,129665.7005,0,1
36,2,GOOD,SOLTERO,29877.51022,84859.20062,0,1
5,2,GOOD,SOLTERO,56037.34469,107903.6249,0,1
42,2,GOOD,SOLTERO,24230.71571,64903.70279,0,1
18,1,GOOD,SOLTERO,86278.65557999999,563107.9870000001,0,1
48,1,GOOD,SOLTERO,26185.25104,45965.40033,0,1
24,2,GOOD,CASADO,15317.27386,35307.61432,0,1
40,4,GOOD,SOLTERO,140797.7659,337499.2545,0,1
48,2,GOOD,CASADO,43480.29762,112664.8787,0,1
48,1,GOOD,CASADO,293460.5726,270470.5738,0,1
24,4,GOOD,SOLTERO,116503.8301,330483.6441,0,1
48,1,GOOD,CASADO,240833.6367,199485.6931,0,1
24,3,GOOD,CASADO,595538.2031,191947.5711,0,1
36,3,GOOD,DIVORCIADO,134462.5139,130405.4552,0,1
6,2,GOOD,DIVORCIADO,134877.0299,238883.0229,0,1
5,3,GOOD,DIVORCIADO,145443.2053,235755.8191,0,1
48,1,GOOD,CASADO,106000.0,170000.0,0,1
48,1,GOOD,CASADO,183370.9646,286133.9171,0,1
48,11,GOOD,CASADO,115085.0872,158565.3848,0,1
24,3,GOOD,CASADO,189908.9815,144894.9503,0,1
