PLAZO;PRESTAMOS_ANTERIORES;SCORE_VERAZ;ESTADO_CIVIL;DEUDA_SIST_FIN;INGRESOS_PERSONALES;dias_mora
12;5;755.0;CASADO;47498.23024;159417.4681;0
18;3;858.0;DIVORCIADO;18992.737390000002;94233.19707000001;0
9;3;628.0;Soltero;26622.29355;106155.3523;0
8;5;798.0;Soltero;15700.0;160000.0;0
36;1;775.0;CASADO;38564.47447;74520.72362;0
15;1;670.0;DIVORCIADO;29493.5297;91311.23747000001;0
48;3;667.0;CASADO;16691.09314;126852.3078;0
48;1;733.0;Soltero;109390.8625;136966.8562;0
48;11;729.0;CASADO;79015.15372999999;251902.1476;0
24;2;;Soltero;17100.0;54600.0;0
18;1;784.0;CASADO;41439.955780000004;188556.6286;0
48;2;;Soltero;141090.7902;181350.6301;0
24;3;845.0;Soltero;50234.12453;148707.5166;0
22;5;758.0;Soltero;53234.45145;219146.9699;0
48;6;694.0;Soltero;167578.5751;158565.3848;0
48;4;684.0;CASADO;85869.52333;73900.38175;0
18;3;739.0;CASADO;76290.59081000001;75917.98719;0
3;6;438.0;Soltero;48588.106660000005;193193.267;0
36;1;803.0;CASADO;25802.80055;100602.9769;0
43;10;710.0;CASADO;48420.61822;233985.8369;0
30;1;884.0;CASADO;38533.34221;164360.2274;0
30;1;469.0;Soltero;140162.7495;175317.5759;0
48;15;723.0;;70182.69382999999;367235.0259;0
12;1;751.0;CASADO;16800.0;156000.0;0
12;1;327.0;CASADO;55565.685620000004;238274.8097;0
18;4;;Soltero;15939.99395;64261.54313;0
20;4;;Soltero;38259.4085;87658.78797;0
25;4;682.0;Soltero;76695.57296;275403.0367;0
36;3;897.0;CASADO;71600.0;197600.0;0
18;1;702.0;CASADO;16869.85653;117707.756;0
48;5;515.0;Soltero;93759.02367000001;129807.4056;0
48;4;678.0;Soltero;43780.92513;139726.3568;0
24;3;691.0;Soltero;37189.7039;144894.9503;0
14;1;921.0;Soltero;13347.6451;128614.7259;0
12;1;;Soltero;11527.10923;98103.05729;0
12;1;782.0;CASADO;12640.48509;68948.1005;0
48;1;889.0;CASADO;49465.8505;86732.03073;0
48;1;399.0;Soltero;72859.32198;161613.5528;0
24;1;701.0;Soltero;26518.50019;194469.0014;0
13;1;765.0;Soltero;19747.99176;96876.94071;0
48;6;674.0;CASADO;170931.9098;409863.9799;0
48;7;643.0;CASADO;153513.3083;398971.3861;0
10;1;881.0;Soltero;110103.4376;139726.3568;0
12;1;;Soltero;23496.14732;66180.81496;0
24;3;899.0;Soltero;27550.608589999996;89273.78214;0
12;5;745.0;Soltero;12199.670259999999;138771.2492;0
30;1;682.0;CASADO;6000.0;100000.0;0
24;1;;CASADO;66458.48386000001;96596.63351;0
8;5;;CASADO;70009.46074;186922.664;0
24;4;854.0;CASADO;62876.86056;201205.9538;0
29;4;621.0;DIVORCIADO;125767.3868;184436.5792;0
24;3;933.0;CASADO;161939.6412;106074.0008;0
24;1;469.0;Soltero;8653.827039;51922.962230000005;0
36;1;700.0;Soltero;88400.0;199800.0;0
7;1;;CASADO;15916.757290000001;42889.46575;0
36;9;831.0;CASADO;85597.49739;95209.08077999999;0
48;1;697.0;CASADO;67068.65126;122959.194;0
26;5;;CASADO;36524.49499;109208.24;0
18;1;;CASADO;44639.47532;211440.8415;0
31;3;723.0;Soltero;111413.0467;233675.3039;0
48;4;232.0;Soltero;40219.725289999995;190933.2014;0
